Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,Pattern detected,Breakout
ECL,2025-12-19,SELL_TGT_6w:274.8441,4.27,TARGET,SELL_TGT_6w,1.82,Double Bottom,Yes
ECL,2025-12-19,SELL_TGT_8w:274.8441,4.27,TARGET,SELL_TGT_8w,1.82,Double Bottom,Yes
ECL,2025-12-19,SELL_TGT_12w:273.6602,3.82,TARGET,SELL_TGT_12w,1.82,Double Bottom,Yes
ECL,2025-12-19,SELL_TGT_18w:273.6602,3.82,TARGET,SELL_TGT_18w,1.82,Double Bottom,Yes
ECL,2025-12-19,SELL_TGT_30w:273.6602,3.82,TARGET,SELL_TGT_30w,1.82,Double Bottom,Yes
SizePct
ECL,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,1.82,Double Bottom,No,0.0
DGII,2025-12-19,Stage: Mark-Up,65.0,WATCH,STAGE,,,No
DGII,2025-12-19,SELL_TGT_6w:47.4722,8.24,TARGET,SELL_TGT_6w,3.12,,No
DGII,2025-12-19,SELL_TGT_8w:47.4722,8.24,TARGET,SELL_TGT_8w,3.12,,No
DGII,2025-12-19,SELL_TGT_12w:47.1204,7.43,TARGET,SELL_TGT_12w,3.12,,No
DGII,2025-12-19,SELL_TGT_18w:47.1204,7.43,TARGET,SELL_TGT_18w,3.12,,No
DGII,2025-12-19,SELL_TGT_30w:47.1204,7.43,TARGET,SELL_TGT_30w,3.12,,No
SizePct
DGII,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,3.12,-,No,0.0
NEE,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Yes
NEE,2025-12-19,SELL_TGT_6w:86.0741,8.21,TARGET,SELL_TGT_6w,2.04,,Yes
NEE,2025-12-19,SELL_TGT_8w:86.0741,8.21,TARGET,SELL_TGT_8w,2.04,,Yes
NEE,2025-12-19,SELL_TGT_12w:85.6636,7.7,TARGET,SELL_TGT_12w,2.04,,Yes
NEE,2025-12-19,SELL_TGT_18w:85.6636,7.7,TARGET,SELL_TGT_18w,2.04,,Yes
NEE,2025-12-19,SELL_TGT_30w:85.6636,7.7,TARGET,SELL_TGT_30w,2.04,,Yes
SizePct
NEE,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.04,-,No,2.5
SMR,2025-12-19,Stage: Accumulation,65.0,WATCH,STAGE,,Double Bottom,No
SMR,2025-12-19,SELL_TGT_6w:22.0023,36.92,TARGET,SELL_TGT_6w,11.24,Double Bottom,No
SMR,2025-12-19,SELL_TGT_8w:22.0023,36.92,TARGET,SELL_TGT_8w,11.24,Double Bottom,No
SMR,2025-12-19,SELL_TGT_12w:21.1038,31.32,TARGET,SELL_TGT_12w,11.24,Double Bottom,No
SMR,2025-12-19,SELL_TGT_18w:21.1038,31.32,TARGET,SELL_TGT_18w,11.24,Double Bottom,No
SMR,2025-12-19,SELL_TGT_30w:21.1038,31.32,TARGET,SELL_TGT_30w,11.24,Double Bottom,No
NVDA,2025-12-19,Stage: Accumulation,65.0,WATCH,STAGE,,,No
NVDA,2025-12-19,SELL_TGT_6w:185.6016,2.55,TARGET,SELL_TGT_6w,2.82,,No
