Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,SizePct,Pattern detected,Breakout
LI,2025-12-19,SELL_TGT_30w:26.6795,56.94,TARGET,SELL_TGT_30w,2.93,,Double Bottom,Yes
SE,2025-12-19,SELL_TGT_12w:189.8868,55.68,TARGET,SELL_TGT_12w,3.75,,,No
SE,2025-12-19,SELL_TGT_18w:189.8868,55.68,TARGET,SELL_TGT_18w,3.75,,,No
SE,2025-12-19,SELL_TGT_30w:189.8868,55.68,TARGET,SELL_TGT_30w,3.75,,,No
NNOX,2025-12-19,SELL_TGT_6w:4.6151,54.35,TARGET,SELL_TGT_6w,6.0,,,Yes
NNOX,2025-12-19,SELL_TGT_8w:4.6151,54.35,TARGET,SELL_TGT_8w,6.0,,,Yes
CELH,2025-12-19,SELL_TGT_12w:65.2389,52.43,TARGET,SELL_TGT_12w,4.22,,,Yes
CELH,2025-12-19,SELL_TGT_18w:65.2389,52.43,TARGET,SELL_TGT_18w,4.22,,,Yes
CELH,2025-12-19,SELL_TGT_30w:65.2389,52.43,TARGET,SELL_TGT_30w,4.22,,,Yes
NNOX,2025-12-19,SELL_TGT_12w:4.5518,52.23,TARGET,SELL_TGT_12w,6.0,,,Yes
NNOX,2025-12-19,SELL_TGT_18w:4.5518,52.23,TARGET,SELL_TGT_18w,6.0,,,Yes
NNOX,2025-12-19,SELL_TGT_30w:4.5518,52.23,TARGET,SELL_TGT_30w,6.0,,,Yes
ABT,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,Yes
CASS,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,No
VKTX,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
MPAA,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,No
ADT,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,No
TBCH,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
BITQ,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
PCG,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
OTEX,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
AVNS,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,Yes
MP,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
ALKS,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
UNH,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
FLXS,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
INDS,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
WB,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,No
APTV,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
HD,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
PLTK,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
SGC,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
MANH,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,Yes
KC,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
AMBA,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,No
FIS,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
CF,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
NIO,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
INOD,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
HACK,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,No
MRVL,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,No
PFE,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
CTVA,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
CELH,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
NTAP,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,,Yes
SPOT,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Double Bottom,No
ADP,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,,Triple Bottom,Yes
