symbol,MACD_Bullish,RSI_Oversold_Reversal,Volume_Surge,sector,undervalued,ema_bullish,bb_squeeze,rs_vs_proxy,avg_dollar_vol,passes_liquidity,drop_rebound_5%_success_rate,drop_rebound_10%_success_rate,events_10,drop_rebound_15%_success_rate,drop_rebound_20%_success_rate,events_20,drop_rebound_25%_success_rate,drop_rebound_30%_success_rate,events_25,events_30,q_demand_date,q_demand_proximal,q_demand_distal,q_demand_width,q_demand_delta,q_demand_distance,q_demand_distance_pct,q_demand_near,q_supply_date,q_supply_proximal,q_supply_distal,q_supply_width,q_supply_delta,q_supply_distance,q_supply_distance_pct,q_supply_near,score,label
CRPT,False,False,False,CryptoETF,False,True,False,False,10523.589975,False,84.38,84.91,53,71.79,76.92,26,70.0,76.47,20,17,2024-09-30,13.43,8.37,5.0600000000000005,7.289999999999999,7.289999999999999,54.28145941921072,False,,,,,,,,,2,⚠️ WEAK
DRAG,False,False,False,DefenseETF,False,True,False,False,4017.348679999994,False,83.33,83.33,6,75.0,100.0,3,100.0,0.0,1,0,2025-03-31,26.74,20.08,6.66,1.370000000000001,1.370000000000001,5.123410620792824,False,,,,,,,,,1,⚠️ WEAK
DXYZ,False,False,False,AIETF,True,True,True,False,75563.25146500001,False,81.25,80.0,30,81.48,84.62,26,78.95,88.89,19,18,2024-09-30,15.3,9.0,6.300000000000001,8.719999999999999,8.719999999999999,56.99346405228757,False,,,,,,,,,3,⚠️ WEAK
ESPO,False,False,False,GamingETF,False,True,False,False,42452.469885,False,45.45,28.57,7,100.0,0.0,0,0.0,0.0,0,0,2025-06-30,109.54,77.91,31.63000000000001,10.709999999999994,10.709999999999994,9.777250319517979,False,,,,,,,,,1,⚠️ WEAK
GLD,True,False,False,GoldETF,False,True,False,False,32421744.560135,True,31.25,0.0,0,0.0,0.0,0,0.0,0.0,0,0,2023-12-31,191.17,168.3,22.869999999999976,155.57000000000002,155.57000000000002,81.37783124967308,False,,,,,,,,,2,⚠️ WEAK
HACK,False,False,False,CybersecurityETF,False,True,False,False,50492.8646,False,28.12,40.0,5,0.0,100.0,1,0.0,0.0,0,0,2025-06-30,86.37,61.59,24.78,0.4299999999999926,0.4299999999999926,0.49785805256453936,True,,,,,,,,,1,⚠️ WEAK
HERO,False,False,False,GamingETF,False,True,False,False,8373.17119,False,46.67,50.0,8,100.0,0.0,0,0.0,0.0,0,0,2023-12-31,19.87,17.38,2.490000000000002,13.709999999999997,13.709999999999997,68.99849018621035,False,,,,,,,,,1,⚠️ WEAK
IBIT,False,False,False,BitcoinETF,False,True,False,False,21448049.358395,True,87.88,84.21,19,91.67,100.0,7,100.0,0.0,1,0,2025-06-30,61.21,42.98,18.230000000000004,0.7299999999999969,0.7299999999999969,1.1926155856886078,True,,,,,,,,,1,⚠️ WEAK
INDS,False,False,False,REITETF,False,True,False,False,6086.594394999998,False,22.86,41.67,12,100.0,0.0,0,0.0,0.0,0,0,2025-06-30,36.59,30.02,6.570000000000004,0.4099999999999966,0.4099999999999966,1.120524733533743,True,,,,,,,,,1,⚠️ WEAK
MISL,True,False,False,DefenseETF,False,True,False,False,6648.85634,False,38.1,25.0,4,0.0,0.0,0,0.0,0.0,0,0,2025-06-30,37.26,26.37,10.889999999999997,3.3999999999999986,3.3999999999999986,9.125067096081585,False,,,,,,,,,2,⚠️ WEAK
